City,Date,PM2_5,PM10,SO2,NOx,NH3,CO,O3,AQI,AQI_Bucket
Delhi,2020-03-29,27.59,55.75,10.39,16.42,23.98,0.52,35.75,64.0,Satisfactory
Delhi,2018-07-27,21.75,35.79,9.13,25.77,33.02,0.91,19.82,68.0,Satisfactory
Delhi,2019-09-29,16.91,51.03,8.85,19.7,21.99,0.74,22.84,68.0,Satisfactory
Delhi,2018-09-22,24.29,46.36,11.11,19.92,23.58,0.73,23.89,76.0,Satisfactory
Delhi,2020-03-27,26.89,45.48,11.04,15.89,27.4,0.53,27.38,76.0,Satisfactory
Delhi,2019-08-12,20.53,51.91,8.14,27.51,24.89,1.02,21.46,80.0,Satisfactory
Delhi,2020-04-01,32.88,65.84,13.0,19.26,26.73,0.62,35.06,80.0,Satisfactory
Delhi,2018-07-23,32.39,69.73,10.43,29.43,39.3,0.81,26.11,80.0,Satisfactory
Delhi,2020-05-31,21.51,40.43,9.06,13.15,34.91,0.84,42.29,80.0,Satisfactory
Delhi,2019-09-19,21.74,62.19,9.29,20.35,22.6,0.78,27.34,80.0,Satisfactory
Delhi,2020-05-30,23.09,53.19,9.95,14.11,36.19,0.84,50.29,84.0,Satisfactory
Delhi,2017-09-24,35.5,81.42,15.901253291205897,12.69,19.11,0.37,22.63,84.0,Satisfactory
Delhi,2020-04-03,31.36,62.69,11.99,19.33,21.54,0.61,46.82,84.0,Satisfactory
Delhi,2017-09-07,40.34,67.06,15.901253291205897,7.9,36.46,0.36,24.93,88.0,Satisfactory
Delhi,2017-09-02,20.06,45.86,15.901253291205897,10.33,33.97,0.48,25.0,88.0,Satisfactory
Delhi,2017-09-06,39.41,85.23,15.901253291205897,9.89,31.07,0.33,24.95,88.0,Satisfactory
Delhi,2017-09-05,35.61,75.82,15.901253291205897,8.93,30.21,0.37,25.08,88.0,Satisfactory
Delhi,2017-09-03,38.19,79.78,15.901253291205897,8.88,25.9,0.4,25.07,88.0,Satisfactory
Delhi,2018-08-29,36.06,65.58,10.23,27.86,29.36,0.9,21.53,88.0,Satisfactory
Delhi,2018-09-10,36.99,83.98,11.21,30.96,24.26,0.88,29.46,92.0,Satisfactory
Delhi,2020-05-04,26.63,60.59,11.92,20.79,31.35,0.72,50.56,92.0,Satisfactory
Delhi,2018-08-12,25.7,83.58,9.09,25.93,30.55,0.66,23.92,92.0,Satisfactory
Delhi,2017-09-22,11.81,18.59,15.901253291205897,11.24,17.63,0.32,24.88,92.0,Satisfactory
Delhi,2019-07-17,32.06,67.73,8.91,26.68,25.91,1.03,31.48,92.0,Satisfactory
Delhi,2018-07-15,37.76,78.42,10.64,25.51,32.08,0.78,28.01,92.0,Satisfactory
Delhi,2020-03-25,37.87,68.03,11.49,22.57,34.43,0.68,32.11,92.0,Satisfactory
Delhi,2017-09-09,54.83,111.65,15.901253291205897,11.27,31.1,0.45,25.77,96.0,Satisfactory
Delhi,2019-09-20,40.33,106.47,10.81,30.32,24.91,0.95,29.76,96.0,Satisfactory
Delhi,2018-07-14,33.82,70.35,11.13,31.3,34.11,0.84,29.2,96.0,Satisfactory
Delhi,2019-09-06,35.81,89.47,10.9,27.49,34.35,0.99,27.22,96.0,Satisfactory
Delhi,2018-09-12,28.55,103.27,10.31,29.28,22.38,0.71,22.44,96.0,Satisfactory
Delhi,2019-09-25,30.52,86.31,8.94,27.25,24.88,0.9,28.53,100.0,Satisfactory
Delhi,2018-07-29,44.03,116.89,9.37,30.46,36.7,0.74,26.19,100.0,Satisfactory
Delhi,2020-06-01,41.05,80.47,14.02,17.6,35.0,0.96,50.57,100.0,Satisfactory
Delhi,2016-08-31,37.1,60.16,8.72,59.5,28.42,2.07,41.57,100.0,Satisfactory
Delhi,2018-08-25,21.96,82.69,10.9,26.16,25.87,0.68,20.69,100.0,Satisfactory
Delhi,2018-08-19,47.01,96.0,11.4,33.12,31.46,1.07,32.1,100.0,Satisfactory
Delhi,2020-04-07,33.12,94.02,13.46,17.38,25.53,0.6,42.65,100.0,Satisfactory
Delhi,2020-02-22,63.62,123.44,13.38,50.12,33.46,1.2,32.03,104.0,Moderate
Delhi,2017-09-25,50.09,100.02,15.901253291205897,13.13,19.81,0.37,24.48,104.0,Moderate
Delhi,2019-08-07,32.63,72.98,9.81,38.88,33.65,1.22,29.87,104.0,Moderate
Delhi,2020-06-26,50.01,112.08,11.66,21.75,32.64,1.01,24.82,104.0,Moderate
Delhi,2020-06-07,39.99,91.17,11.89,17.92,30.79,0.86,45.4,104.0,Moderate
Delhi,2019-04-18,38.92,91.55,15.05,35.02,26.28,1.01,50.12,104.0,Moderate
Delhi,2019-08-03,38.54,80.35,9.43,33.32,35.33,1.07,27.74,104.0,Moderate
Delhi,2015-09-22,35.75,70.38,11.57,41.5,23.06,0.95,39.83,104.0,Moderate
Delhi,2020-06-22,39.47,77.48,11.08,17.46,34.32,0.91,42.76,104.0,Moderate
Delhi,2016-07-27,40.55,58.09,10.82,65.28,42.48,1.36,56.73,108.0,Moderate
Delhi,2018-09-13,27.49,115.88,11.24,30.78,20.34,0.63,23.11,108.0,Moderate
Delhi,2019-08-05,52.2,104.96,9.37,38.54,37.17,1.24,28.66,108.0,Moderate
Delhi,2019-10-05,39.48,108.22,8.08,36.22,23.56,1.03,32.66,108.0,Moderate
Delhi,2016-07-12,39.32,57.16,9.06,58.24,33.66,2.36,43.95,108.0,Moderate
Delhi,2015-03-08,63.24,80.2,3.98,27.44,16.12,8.19,20.71,108.0,Moderate
Delhi,2018-08-08,36.7,76.04,9.47,30.33,38.57,1.02,31.12,108.0,Moderate
Delhi,2018-09-05,39.77,101.8,9.62,37.55,29.56,1.04,20.64,108.0,Moderate
